name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
The Fatty Bao - Malleshwaram,Yes,Yes,4.0/5,678,Electronic City,Pub,Beverages,700,Pub,Electronic City
Meghana Foods - JP Nagar,No,No,3.5/5,3457,Shivajinagar,Casual Dining,Pizza,450,Casual Dining,Shivajinagar
Toit - HSR Layout,Yes,Yes,3.6/5,2744,Hebbal,Sweet Shop,Fast Food,250,Sweet Shop,Hebbal
Meghana Foods - Bellandur,Yes,Yes,4.5/5,2353,Marathahalli,Fine Dining,Continental,1000,Fine Dining,Marathahalli
Hotel Suprabhatha - Banashankari,Yes,No,2.8/5,1648,Malleshwaram,Delivery,South Indian,150,Delivery,Malleshwaram
Shivaji Military Hotel - Electronic City,No,No,NEW,0,Jayanagar,Lounge,Italian,950,Lounge,Jayanagar
Domino's Pizza - Yelahanka,Yes,No,3.5/5,3966,HSR Layout,Café,Biryani,350,Café,HSR Layout
Third Wave Coffee - Koramangala,Yes,Yes,3.5/5,2741,Marathahalli,Food Court,North Indian,250,Food Court,Marathahalli
Chutney's - Indiranagar,No,No,3.8/5,853,Hebbal,Casual Dining,Continental,500,Casual Dining,Hebbal
Smoke House Deli - Koramangala,Yes,Yes,3.1/5,592,HSR Layout,Lounge,Rolls,450,Lounge,HSR Layout
Kanti Sweets - Hebbal,Yes,No,3.4/5,3406,Rajajinagar,Bar,Italian,750,Bar,Rajajinagar
The Only Place - KR Puram,Yes,No,NEW,0,Whitefield,Café,Burgers,350,Café,Whitefield
Blue Tokai - Marathahalli,Yes,Yes,3.7/5,1019,Indiranagar,Mess,Chinese,50,Mess,Indiranagar
Dindigul Thalappakatti - MG Road,Yes,No,3.4/5,4993,Electronic City,Beverage Shop,Burgers,250,Beverage Shop,Electronic City
Rajadhani - BTM,Yes,Yes,4.7/5,1584,HSR Layout,Casual Dining,Fast Food,200,Casual Dining,HSR Layout
Social - JP Nagar,Yes,No,4.7/5,4911,MG Road,Dhaba,Kerala,250,Dhaba,MG Road
Rajadhani - Malleshwaram,Yes,No,2.8/5,2614,Jayanagar,Quick Bites,Cafe Food,300,Quick Bites,Jayanagar
Corner House - Koramangala,No,No,4.0/5,1871,Rajajinagar,Dhaba,Continental,50,Dhaba,Rajajinagar
Dindigul Thalappakatti - Malleshwaram,No,No,4.1/5,1090,HSR Layout,Food Court,Street Food,300,Food Court,HSR Layout
Byg Brewski - Sarjapur Road,No,No,4.0/5,626,Banashankari,Fine Dining,North Indian,1050,Fine Dining,Banashankari
Hotel Suprabhatha - Bellandur,No,Yes,3.4/5,4207,KR Puram,Delivery,Italian,350,Delivery,KR Puram
Rajadhani - Electronic City,Yes,Yes,3.7/5,4766,Banashankari,Lounge,Rajasthani,950,Lounge,Banashankari
Punjabi Dhaba - Marathahalli,No,No,3.3/5,3178,MG Road,Beverage Shop,Rajasthani,200,Beverage Shop,MG Road
Natural Ice Cream - Koramangala,Yes,No,3.6/5,25,HSR Layout,Café,Rolls,250,Café,HSR Layout
Burger King - Sarjapur Road,No,Yes,3.1/5,3048,Whitefield,Café,Desserts,350,Café,Whitefield
Social - MG Road,No,No,3.6/5,621,Sarjapur Road,Casual Dining,Biryani,700,Casual Dining,Sarjapur Road
Blue Tokai - Electronic City,No,No,2.9/5,3485,Sarjapur Road,Beverage Shop,Rolls,200,Beverage Shop,Sarjapur Road
Dindigul Thalappakatti - Yelahanka,No,No,3.6/5,716,Koramangala,Food Court,Biryani,250,Food Court,Koramangala
Truffles - Jayanagar,Yes,No,3.2/5,2660,KR Puram,Delivery,Biryani,350,Delivery,KR Puram
Social - JP Nagar,Yes,No,4.0/5,1741,Bellandur,Bar,Fast Food,850,Bar,Bellandur
Natural Ice Cream - Rajajinagar,Yes,No,3.5/5,3072,Shivajinagar,Beverage Shop,North Indian,100,Beverage Shop,Shivajinagar
Punjabi Dhaba - BTM,Yes,Yes,4.0/5,3733,Shivajinagar,Sweet Shop,Rajasthani,200,Sweet Shop,Shivajinagar
Barbeque Nation - MG Road,Yes,No,4.4/5,4464,Whitefield,Casual Dining,Chinese,350,Casual Dining,Whitefield
Wow Momo - Whitefield,Yes,Yes,4.6/5,2774,Shivajinagar,Pub,Biryani,850,Pub,Shivajinagar
New Krishna Bhavan - JP Nagar,No,Yes,2.4/5,1845,Rajajinagar,Bakery,Gujarati,200,Bakery,Rajajinagar
Meghana Foods - Koramangala,Yes,No,3.4/5,4237,HSR Layout,Fine Dining,Cafe Food,600,Fine Dining,HSR Layout
Wow Momo - Bellandur,No,No,3.5/5,13,JP Nagar,Delivery,Cafe Food,350,Delivery,JP Nagar
Keventers - HSR Layout,No,No,3.9/5,2758,Electronic City,Mess,Rolls,50,Mess,Electronic City
Nandhini Hotel - Indiranagar,No,No,2.9/5,530,Indiranagar,Fine Dining,Fast Food,850,Fine Dining,Indiranagar
Corner House - Marathahalli,No,No,3.2/5,2878,Shivajinagar,Bar,Cafe Food,450,Bar,Shivajinagar
Domino's Pizza - Indiranagar,Yes,Yes,3.9/5,3404,Basavanagudi,Pub,Chinese,850,Pub,Basavanagudi
Baskin-Robbins - Banashankari,No,No,3.7/5,437,Hebbal,Fine Dining,Cafe Food,600,Fine Dining,Hebbal
Natural Ice Cream - Koramangala,No,No,3.9/5,382,MG Road,Casual Dining,North Indian,400,Casual Dining,MG Road
Truffles - Yelahanka,Yes,Yes,4.1/5,1289,JP Nagar,Pub,Andhra,150,Pub,JP Nagar
Smoke House Deli - KR Puram,Yes,No,4.0/5,2852,Jayanagar,Quick Bites,Bengali,200,Quick Bites,Jayanagar
Byg Brewski - HSR Layout,No,No,3.8/5,2037,KR Puram,Bakery,Kerala,250,Bakery,KR Puram
Domino's Pizza - JP Nagar,Yes,No,3.9/5,3716,Banashankari,Café,Rolls,300,Café,Banashankari
Punjabi Dhaba - KR Puram,Yes,No,4.2/5,2452,JP Nagar,Beverage Shop,Cafe Food,250,Beverage Shop,JP Nagar
Brahmin's Coffee Bar - Malleshwaram,No,Yes,2.6/5,885,HSR Layout,Food Court,Burgers,350,Food Court,HSR Layout
Dindigul Thalappakatti - BTM,Yes,No,4.6/5,3494,Electronic City,Mess,Beverages,100,Mess,Electronic City
Rajadhani - Yelahanka,Yes,Yes,2.7/5,3014,Malleshwaram,Fine Dining,Bengali,600,Fine Dining,Malleshwaram
The Fatty Bao - MG Road,No,No,NEW,0,Marathahalli,Fine Dining,Gujarati,1450,Fine Dining,Marathahalli
MTR - Bellandur,Yes,No,3.7/5,4174,Yelahanka,Quick Bites,Andhra,50,Quick Bites,Yelahanka
Starbucks - KR Puram,Yes,No,4.2/5,308,Koramangala,Fine Dining,Biryani,450,Fine Dining,Koramangala
Sri Sairam Vegetarian - KR Puram,Yes,No,2.4/5,726,Yelahanka,Mess,Desserts,50,Mess,Yelahanka
Domino's Pizza - Jayanagar,Yes,Yes,3.8/5,3104,KR Puram,Desserts,South Indian,200,Desserts,KR Puram
Subway - Marathahalli,No,No,4.1/5,2937,JP Nagar,Bakery,Biryani,250,Bakery,JP Nagar
KFC - Yelahanka,Yes,No,4.3/5,1713,JP Nagar,Lounge,Fast Food,550,Lounge,JP Nagar
Punjabi Dhaba - Malleshwaram,Yes,No,3.5/5,3871,JP Nagar,Beverage Shop,Fast Food,150,Beverage Shop,JP Nagar
Kanti Sweets - Shivajinagar,Yes,No,3.7/5,712,MG Road,Dhaba,Street Food,300,Dhaba,MG Road
Burger King - Marathahalli,Yes,No,3.5/5,950,Jayanagar,Beverage Shop,Kerala,150,Beverage Shop,Jayanagar
The Only Place - Sarjapur Road,No,Yes,3.5/5,1435,Koramangala,Lounge,Biryani,450,Lounge,Koramangala
Smoke House Deli - Malleshwaram,No,No,3.2/5,4565,JP Nagar,Dhaba,Rolls,200,Dhaba,JP Nagar
Sri Sairam Vegetarian - MG Road,Yes,No,3.4/5,1538,Indiranagar,Casual Dining,Chinese,300,Casual Dining,Indiranagar
KFC - Yelahanka,Yes,No,4.1/5,2612,Indiranagar,Bakery,Burgers,150,Bakery,Indiranagar
Third Wave Coffee - BTM,Yes,No,3.9/5,2168,Yelahanka,Lounge,Bengali,700,Lounge,Yelahanka
Natural Ice Cream - Sarjapur Road,Yes,No,4.1/5,2197,Sarjapur Road,Delivery,Rajasthani,150,Delivery,Sarjapur Road
Rajadhani - Marathahalli,No,No,3.8/5,2200,Bellandur,Quick Bites,Gujarati,150,Quick Bites,Bellandur
Empire Restaurant - Shivajinagar,Yes,No,4.2/5,3051,Hebbal,Desserts,Kerala,250,Desserts,Hebbal
Nandhini Hotel - Shivajinagar,Yes,No,4.3/5,1670,BTM,Desserts,Chinese,200,Desserts,BTM
Corner House - Banashankari,Yes,Yes,3.0/5,4669,Yelahanka,Bakery,Kerala,350,Bakery,Yelahanka
The Only Place - KR Puram,No,No,NEW,0,MG Road,Quick Bites,Fast Food,50,Quick Bites,MG Road
Rajadhani - Jayanagar,No,No,3.6/5,3364,Yelahanka,Quick Bites,North Indian,200,Quick Bites,Yelahanka
McDonald's - Bellandur,Yes,No,3.8/5,2115,Malleshwaram,Pub,South Indian,850,Pub,Malleshwaram
Burger King - HSR Layout,No,No,3.4/5,224,Hebbal,Café,Gujarati,150,Café,Hebbal
Baskin-Robbins - Electronic City,Yes,No,4.3/5,846,Basavanagudi,Quick Bites,Mughlai,200,Quick Bites,Basavanagudi
Punjabi Dhaba - Rajajinagar,Yes,No,4.8/5,4069,MG Road,Café,Biryani,300,Café,MG Road
Punjabi Dhaba - Whitefield,No,No,NEW,0,Bellandur,Pub,Desserts,450,Pub,Bellandur
Byg Brewski - Sarjapur Road,No,No,3.7/5,4387,Banashankari,Mess,Pizza,50,Mess,Banashankari
The Only Place - Koramangala,No,No,4.1/5,2261,Malleshwaram,Bar,Street Food,350,Bar,Malleshwaram
The Fatty Bao - Marathahalli,Yes,No,2.9/5,1583,Hebbal,Dhaba,Continental,200,Dhaba,Hebbal
MTR - Jayanagar,Yes,No,3.9/5,970,Basavanagudi,Pub,Beverages,150,Pub,Basavanagudi
Byg Brewski - Bellandur,No,Yes,4.2/5,3972,MG Road,Food Court,Kerala,200,Food Court,MG Road
Dindigul Thalappakatti - Whitefield,Yes,No,3.5/5,1216,Banashankari,Delivery,Rajasthani,200,Delivery,Banashankari
MTR - Basavanagudi,Yes,Yes,3.2/5,1638,Jayanagar,Food Court,Street Food,400,Food Court,Jayanagar
Rajadhani - Bellandur,Yes,No,3.8/5,2121,Yelahanka,Fine Dining,Burgers,350,Fine Dining,Yelahanka
McDonald's - Shivajinagar,No,No,NEW,0,JP Nagar,Food Court,Italian,450,Food Court,JP Nagar
Wow Momo - MG Road,Yes,No,3.4/5,2711,Rajajinagar,Beverage Shop,Continental,200,Beverage Shop,Rajajinagar
Truffles - Yelahanka,Yes,No,4.9/5,1286,Yelahanka,Quick Bites,Kerala,300,Quick Bites,Yelahanka
Vidyarthi Bhavan - Shivajinagar,No,No,3.5/5,3157,Basavanagudi,Sweet Shop,Bengali,150,Sweet Shop,Basavanagudi
The Only Place - BTM,Yes,Yes,3.3/5,57,Bellandur,Delivery,Beverages,200,Delivery,Bellandur
Hotel Suprabhatha - Bellandur,Yes,Yes,3.8/5,1684,MG Road,Dhaba,Desserts,150,Dhaba,MG Road
Toit - Malleshwaram,Yes,Yes,4.3/5,3488,Hebbal,Desserts,Continental,250,Desserts,Hebbal
Natural Ice Cream - Koramangala,Yes,No,3.9/5,1304,Hebbal,Mess,Biryani,100,Mess,Hebbal
Nandhini Hotel - KR Puram,Yes,No,4.1/5,1630,Shivajinagar,Bakery,Street Food,200,Bakery,Shivajinagar
Shivaji Military Hotel - Yelahanka,Yes,No,3.4/5,4080,Sarjapur Road,Sweet Shop,Burgers,150,Sweet Shop,Sarjapur Road
Truffles - Shivajinagar,No,No,4.4/5,4303,Hebbal,Quick Bites,Desserts,250,Quick Bites,Hebbal
Kanti Sweets - Sarjapur Road,Yes,Yes,4.1/5,1166,Indiranagar,Café,Kerala,150,Café,Indiranagar
MTR - Indiranagar,No,No,4.2/5,412,Rajajinagar,Beverage Shop,Kerala,100,Beverage Shop,Rajajinagar
Vasudev Adiga's - Indiranagar,Yes,Yes,4.0/5,1618,Jayanagar,Bakery,Andhra,350,Bakery,Jayanagar
Hotel Suprabhatha - Sarjapur Road,Yes,Yes,4.3/5,2777,MG Road,Food Court,Biryani,200,Food Court,MG Road
Byg Brewski - Whitefield,Yes,Yes,3.4/5,739,HSR Layout,Bar,Burgers,900,Bar,HSR Layout
Vidyarthi Bhavan - KR Puram,Yes,No,3.6/5,4899,Indiranagar,Fine Dining,Bengali,650,Fine Dining,Indiranagar
Rajadhani - Jayanagar,No,No,4.4/5,4514,Marathahalli,Pub,Biryani,400,Pub,Marathahalli
Dindigul Thalappakatti - Sarjapur Road,Yes,No,4.6/5,918,Banashankari,Bar,Italian,850,Bar,Banashankari
Corner House - Basavanagudi,Yes,No,3.3/5,2248,Electronic City,Quick Bites,Desserts,350,Quick Bites,Electronic City
Natural Ice Cream - Marathahalli,No,No,NEW,0,Yelahanka,Delivery,Desserts,200,Delivery,Yelahanka
Burger King - KR Puram,No,Yes,3.5/5,4175,BTM,Mess,Pizza,150,Mess,BTM
Shivaji Military Hotel - Whitefield,No,No,3.4/5,1503,KR Puram,Pub,Biryani,650,Pub,KR Puram
Natural Ice Cream - Basavanagudi,Yes,No,4.0/5,3227,BTM,Quick Bites,Italian,200,Quick Bites,BTM
Brahmin's Coffee Bar - Malleshwaram,No,No,4.3/5,827,Basavanagudi,Desserts,Burgers,200,Desserts,Basavanagudi
Café Coffee Day - Whitefield,Yes,No,4.1/5,3231,Banashankari,Quick Bites,Italian,200,Quick Bites,Banashankari
Barbeque Nation - Marathahalli,Yes,No,3.7/5,2873,Shivajinagar,Beverage Shop,Fast Food,150,Beverage Shop,Shivajinagar
Burger King - Hebbal,Yes,No,4.1/5,1617,Electronic City,Pub,Chinese,650,Pub,Electronic City
Pizza Hut - Banashankari,Yes,No,3.7/5,1185,Sarjapur Road,Dhaba,Beverages,150,Dhaba,Sarjapur Road
Barbeque Nation - KR Puram,Yes,No,4.1/5,1684,Indiranagar,Pub,Kerala,500,Pub,Indiranagar
Keventers - Malleshwaram,Yes,Yes,4.5/5,509,Banashankari,Delivery,Andhra,150,Delivery,Banashankari
Brahmin's Coffee Bar - Banashankari,No,No,2.7/5,694,Marathahalli,Desserts,Pizza,50,Desserts,Marathahalli
Burger King - Banashankari,Yes,No,4.2/5,3279,Hebbal,Bar,Andhra,600,Bar,Hebbal
Nandhini Hotel - Rajajinagar,Yes,No,3.1/5,4016,Shivajinagar,Mess,North Indian,50,Mess,Shivajinagar
Natural Ice Cream - Rajajinagar,Yes,No,4.5/5,2068,HSR Layout,Dhaba,Italian,50,Dhaba,HSR Layout
Punjabi Dhaba - Shivajinagar,No,No,3.4/5,1246,Banashankari,Fine Dining,South Indian,550,Fine Dining,Banashankari
Corner House - Basavanagudi,Yes,No,3.2/5,399,Yelahanka,Mess,Rolls,100,Mess,Yelahanka
KFC - Jayanagar,Yes,Yes,4.2/5,2607,Basavanagudi,Bakery,Cafe Food,200,Bakery,Basavanagudi
Rajadhani - KR Puram,No,Yes,3.9/5,4584,Hebbal,Desserts,Italian,300,Desserts,Hebbal
Cream Stone - Yelahanka,No,No,3.2/5,287,Hebbal,Mess,Continental,100,Mess,Hebbal
Starbucks - Malleshwaram,Yes,No,3.2/5,1403,Electronic City,Casual Dining,Rolls,600,Casual Dining,Electronic City
New Krishna Bhavan - BTM,No,No,3.6/5,4532,Malleshwaram,Food Court,Andhra,200,Food Court,Malleshwaram
MTR - Electronic City,No,Yes,3.1/5,2177,Marathahalli,Dhaba,Kerala,250,Dhaba,Marathahalli
Keventers - BTM,No,Yes,3.2/5,440,Whitefield,Dhaba,Pizza,100,Dhaba,Whitefield
McDonald's - HSR Layout,Yes,Yes,3.9/5,4885,JP Nagar,Café,Kerala,450,Café,JP Nagar
Vasudev Adiga's - BTM,No,No,3.2/5,1268,BTM,Delivery,Bengali,350,Delivery,BTM
Vasudev Adiga's - JP Nagar,Yes,No,4.1/5,2512,Malleshwaram,Pub,Pizza,800,Pub,Malleshwaram
Hotel Suprabhatha - Banashankari,Yes,No,4.6/5,185,MG Road,Bar,North Indian,1000,Bar,MG Road
Empire Restaurant - MG Road,Yes,No,3.8/5,4257,HSR Layout,Food Court,Cafe Food,400,Food Court,HSR Layout
Burger King - Sarjapur Road,Yes,No,3.9/5,3270,JP Nagar,Food Court,Beverages,350,Food Court,JP Nagar
Burger King - Basavanagudi,Yes,No,4.9/5,2448,Yelahanka,Casual Dining,Mughlai,200,Casual Dining,Yelahanka
Subway - HSR Layout,No,Yes,3.1/5,3543,Basavanagudi,Quick Bites,Bengali,50,Quick Bites,Basavanagudi
Byg Brewski - Koramangala,Yes,No,4.4/5,1479,Whitefield,Casual Dining,Street Food,200,Casual Dining,Whitefield
Third Wave Coffee - Yelahanka,Yes,No,4.4/5,4886,MG Road,Sweet Shop,Mughlai,50,Sweet Shop,MG Road
Smoke House Deli - HSR Layout,Yes,Yes,4.3/5,3062,Marathahalli,Delivery,Mughlai,150,Delivery,Marathahalli
Cream Stone - Yelahanka,Yes,Yes,4.5/5,4640,Hebbal,Lounge,South Indian,900,Lounge,Hebbal
Wow Momo - JP Nagar,No,No,NEW,0,Whitefield,Food Court,Andhra,200,Food Court,Whitefield
Vidyarthi Bhavan - MG Road,Yes,No,3.6/5,2578,Electronic City,Mess,Biryani,100,Mess,Electronic City
Vasudev Adiga's - Indiranagar,Yes,No,4.4/5,1144,Koramangala,Café,Andhra,300,Café,Koramangala
Subway - Hebbal,Yes,Yes,4.4/5,4164,MG Road,Fine Dining,Andhra,850,Fine Dining,MG Road
Subway - Jayanagar,Yes,No,4.4/5,634,KR Puram,Café,Bengali,250,Café,KR Puram
The Only Place - Banashankari,Yes,No,3.9/5,1303,Basavanagudi,Casual Dining,Desserts,600,Casual Dining,Basavanagudi
Blue Tokai - Marathahalli,No,No,3.3/5,4661,Jayanagar,Quick Bites,Italian,200,Quick Bites,Jayanagar
Domino's Pizza - Basavanagudi,No,No,3.8/5,532,JP Nagar,Lounge,Kerala,750,Lounge,JP Nagar
Byg Brewski - Shivajinagar,Yes,Yes,4.3/5,1881,Marathahalli,Pub,Beverages,1150,Pub,Marathahalli
Vasudev Adiga's - Koramangala,No,Yes,4.2/5,2697,Rajajinagar,Bakery,Chinese,400,Bakery,Rajajinagar
Subway - Hebbal,No,Yes,3.5/5,4649,Whitefield,Casual Dining,Biryani,400,Casual Dining,Whitefield
Toit - Koramangala,No,No,3.9/5,952,Electronic City,Delivery,South Indian,300,Delivery,Electronic City
Chutney's - Yelahanka,Yes,No,3.2/5,2805,Banashankari,Delivery,Bengali,150,Delivery,Banashankari
Café Coffee Day - Rajajinagar,Yes,No,4.3/5,569,Electronic City,Desserts,Italian,50,Desserts,Electronic City
Social - JP Nagar,Yes,No,3.5/5,4523,Jayanagar,Bar,Burgers,750,Bar,Jayanagar
Keventers - BTM,No,No,4.1/5,2822,Koramangala,Quick Bites,Chinese,100,Quick Bites,Koramangala
Natural Ice Cream - Hebbal,No,No,3.1/5,3215,Malleshwaram,Casual Dining,Burgers,500,Casual Dining,Malleshwaram
Truffles - Electronic City,Yes,No,4.4/5,979,Basavanagudi,Food Court,Mughlai,500,Food Court,Basavanagudi
McDonald's - Koramangala,Yes,No,4.0/5,4130,Rajajinagar,Desserts,Andhra,50,Desserts,Rajajinagar
Punjabi Dhaba - KR Puram,No,Yes,3.3/5,3541,JP Nagar,Café,Continental,50,Café,JP Nagar
Subway - HSR Layout,No,No,4.0/5,2573,Malleshwaram,Café,Rajasthani,200,Café,Malleshwaram
Punjabi Dhaba - Sarjapur Road,No,No,3.4/5,3386,JP Nagar,Quick Bites,Burgers,250,Quick Bites,JP Nagar
Vidyarthi Bhavan - HSR Layout,No,Yes,4.1/5,3555,Whitefield,Casual Dining,Fast Food,600,Casual Dining,Whitefield
Truffles - Hebbal,Yes,No,3.7/5,2877,BTM,Delivery,Continental,350,Delivery,BTM
Starbucks - Shivajinagar,Yes,No,3.0/5,1737,BTM,Food Court,Biryani,350,Food Court,BTM
Subway - Sarjapur Road,No,Yes,3.2/5,2423,KR Puram,Mess,Mughlai,100,Mess,KR Puram
Toit - JP Nagar,Yes,Yes,3.6/5,2881,Whitefield,Food Court,Biryani,300,Food Court,Whitefield
Café Coffee Day - Electronic City,Yes,No,4.5/5,2703,Bellandur,Café,Fast Food,400,Café,Bellandur
New Krishna Bhavan - HSR Layout,No,Yes,4.2/5,2535,Sarjapur Road,Bakery,South Indian,200,Bakery,Sarjapur Road
The Fatty Bao - Banashankari,Yes,No,4.7/5,3567,Yelahanka,Pub,Bengali,650,Pub,Yelahanka
Toit - Bellandur,No,Yes,4.5/5,2400,Marathahalli,Delivery,Desserts,150,Delivery,Marathahalli
Subway - Koramangala,Yes,Yes,3.6/5,4449,HSR Layout,Café,Chinese,350,Café,HSR Layout
Burger King - Hebbal,No,No,3.6/5,3955,Whitefield,Quick Bites,Cafe Food,200,Quick Bites,Whitefield
Cream Stone - Indiranagar,Yes,No,3.6/5,3552,Indiranagar,Pub,Cafe Food,1150,Pub,Indiranagar
New Krishna Bhavan - Sarjapur Road,Yes,Yes,3.5/5,978,Yelahanka,Food Court,Rolls,150,Food Court,Yelahanka
Café Coffee Day - HSR Layout,Yes,No,2.9/5,402,KR Puram,Dhaba,North Indian,250,Dhaba,KR Puram
The Fatty Bao - Bellandur,Yes,Yes,3.8/5,2804,Malleshwaram,Delivery,Fast Food,200,Delivery,Malleshwaram
Burger King - Jayanagar,No,Yes,3.1/5,1514,Indiranagar,Mess,North Indian,150,Mess,Indiranagar
Domino's Pizza - Hebbal,No,No,3.7/5,1547,KR Puram,Dhaba,Mughlai,250,Dhaba,KR Puram
Subway - Jayanagar,Yes,No,4.9/5,393,MG Road,Casual Dining,Chinese,350,Casual Dining,MG Road
Burger King - Shivajinagar,Yes,No,3.6/5,2630,Banashankari,Sweet Shop,Cafe Food,100,Sweet Shop,Banashankari
McDonald's - JP Nagar,Yes,No,NEW,0,Marathahalli,Pub,Desserts,450,Pub,Marathahalli
Corner House - Indiranagar,Yes,No,4.3/5,1743,Jayanagar,Mess,Continental,100,Mess,Jayanagar
Kanti Sweets - Rajajinagar,No,No,3.8/5,421,Yelahanka,Bar,Biryani,450,Bar,Yelahanka
Punjabi Dhaba - Basavanagudi,No,Yes,3.8/5,4713,MG Road,Food Court,Gujarati,300,Food Court,MG Road
Toit - Whitefield,No,Yes,3.5/5,3177,Marathahalli,Casual Dining,Rajasthani,200,Casual Dining,Marathahalli
Shivaji Military Hotel - Rajajinagar,No,No,3.6/5,3776,Rajajinagar,Dhaba,Mughlai,250,Dhaba,Rajajinagar
Nandhini Hotel - Yelahanka,Yes,No,3.4/5,4390,Sarjapur Road,Pub,Desserts,450,Pub,Sarjapur Road
Dindigul Thalappakatti - Banashankari,No,No,4.1/5,275,Malleshwaram,Mess,Continental,100,Mess,Malleshwaram
Brahmin's Coffee Bar - Shivajinagar,No,No,2.8/5,193,MG Road,Bar,Beverages,850,Bar,MG Road
Empire Restaurant - Electronic City,No,No,4.2/5,4406,MG Road,Delivery,Desserts,250,Delivery,MG Road
Barbeque Nation - Yelahanka,No,Yes,3.0/5,4715,Bellandur,Bar,Cafe Food,750,Bar,Bellandur
Baskin-Robbins - Malleshwaram,Yes,No,4.3/5,1126,Koramangala,Lounge,Burgers,500,Lounge,Koramangala
Baskin-Robbins - HSR Layout,No,No,3.5/5,4018,Whitefield,Quick Bites,Burgers,200,Quick Bites,Whitefield
Starbucks - Koramangala,Yes,No,3.2/5,249,Bellandur,Delivery,Chinese,300,Delivery,Bellandur
Vidyarthi Bhavan - Jayanagar,Yes,Yes,4.1/5,3467,Jayanagar,Food Court,Rajasthani,200,Food Court,Jayanagar
Nandhini Hotel - HSR Layout,Yes,No,4.3/5,2829,Marathahalli,Beverage Shop,Rajasthani,150,Beverage Shop,Marathahalli
Toit - Whitefield,No,No,3.5/5,4391,BTM,Mess,Bengali,100,Mess,BTM
Truffles - JP Nagar,No,No,4.1/5,237,Sarjapur Road,Mess,Fast Food,100,Mess,Sarjapur Road
Baskin-Robbins - HSR Layout,No,No,2.6/5,3720,Rajajinagar,Mess,Fast Food,50,Mess,Rajajinagar
Sri Sairam Vegetarian - BTM,No,No,3.0/5,4009,Banashankari,Casual Dining,Continental,250,Casual Dining,Banashankari
Chutney's - Whitefield,Yes,No,4.5/5,4905,HSR Layout,Mess,Rolls,50,Mess,HSR Layout
Vasudev Adiga's - Malleshwaram,No,No,3.6/5,2336,JP Nagar,Dhaba,Rolls,100,Dhaba,JP Nagar
Blue Tokai - BTM,Yes,Yes,2.9/5,2584,Malleshwaram,Fine Dining,Rolls,600,Fine Dining,Malleshwaram
Chutney's - Jayanagar,Yes,No,3.5/5,1765,Malleshwaram,Delivery,Cafe Food,300,Delivery,Malleshwaram
KFC - Jayanagar,Yes,No,3.4/5,3917,Malleshwaram,Dhaba,Gujarati,200,Dhaba,Malleshwaram
Hotel Suprabhatha - KR Puram,No,No,3.6/5,4616,HSR Layout,Bar,Beverages,600,Bar,HSR Layout
McDonald's - MG Road,No,Yes,3.5/5,1142,Basavanagudi,Beverage Shop,Pizza,100,Beverage Shop,Basavanagudi
Burger King - Bellandur,Yes,No,3.9/5,2166,Rajajinagar,Quick Bites,Rajasthani,200,Quick Bites,Rajajinagar
Baskin-Robbins - HSR Layout,Yes,Yes,3.8/5,1114,Hebbal,Fine Dining,Street Food,1200,Fine Dining,Hebbal
Empire Restaurant - Hebbal,No,Yes,4.4/5,2219,Banashankari,Dhaba,Rajasthani,200,Dhaba,Banashankari
Wow Momo - Sarjapur Road,Yes,No,4.1/5,4818,Rajajinagar,Food Court,Beverages,400,Food Court,Rajajinagar
MTR - MG Road,No,Yes,3.9/5,1139,Jayanagar,Beverage Shop,North Indian,100,Beverage Shop,Jayanagar
Barbeque Nation - Koramangala,No,Yes,4.3/5,4662,Jayanagar,Dhaba,Chinese,150,Dhaba,Jayanagar
Sri Sairam Vegetarian - Jayanagar,Yes,No,NEW,0,Malleshwaram,Desserts,North Indian,250,Desserts,Malleshwaram
Baskin-Robbins - MG Road,Yes,Yes,3.2/5,3516,BTM,Mess,South Indian,50,Mess,BTM
Truffles - Malleshwaram,No,No,NEW,0,Whitefield,Fine Dining,Burgers,750,Fine Dining,Whitefield
Meghana Foods - Indiranagar,No,Yes,3.8/5,1596,MG Road,Bar,Desserts,650,Bar,MG Road
Rajadhani - MG Road,Yes,No,3.9/5,1145,Koramangala,Fine Dining,Rolls,700,Fine Dining,Koramangala
Nandhini Hotel - Whitefield,No,No,3.4/5,1627,Koramangala,Café,Desserts,200,Café,Koramangala
Empire Restaurant - Electronic City,Yes,No,3.5/5,1858,Yelahanka,Quick Bites,Desserts,150,Quick Bites,Yelahanka
Rajadhani - JP Nagar,Yes,No,4.3/5,1245,HSR Layout,Quick Bites,Rajasthani,100,Quick Bites,HSR Layout
Rajadhani - Sarjapur Road,No,Yes,4.2/5,1482,Malleshwaram,Quick Bites,Rajasthani,200,Quick Bites,Malleshwaram
Byg Brewski - Banashankari,No,Yes,4.1/5,1521,KR Puram,Bakery,Bengali,300,Bakery,KR Puram
Domino's Pizza - Shivajinagar,Yes,No,4.2/5,369,Indiranagar,Café,Continental,250,Café,Indiranagar
KFC - Indiranagar,No,No,4.0/5,4855,BTM,Casual Dining,Andhra,800,Casual Dining,BTM
Absolute Barbecues - Jayanagar,Yes,Yes,3.9/5,3192,Yelahanka,Desserts,Continental,150,Desserts,Yelahanka
